time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-01T03:46:58.490Z,-6.4046,142.917,10,4.5,mb,,81,5.152,0.55,us,us2000d9ir,2018-03-01T04:00:49.040Z,"85km WSW of Mendi, Papua New Guinea",earthquake,8.9,2,0.164,11,reviewed,us,us
2018-03-01T03:17:06.720Z,0.9907,98.7242,71.02,5.2,mww,,47,1.189,1.13,us,us2000d9i7,2018-03-01T03:31:02.040Z,"73km SW of Padangsidempuan, Indonesia",earthquake,6.3,5.7,0.075,17,reviewed,us,us
2018-03-01T01:35:49.970Z,1.0302,98.7423,69.89,5.1,mww,,31,1.197,1.24,us,us2000d9h8,2018-03-01T03:48:15.040Z,"69km WSW of Padangsidempuan, Indonesia",earthquake,3.3,4,0.073,18,reviewed,us,us
2018-03-01T00:22:11.390Z,-6.0923,142.5738,10,4.6,mb,,102,5.61,0.64,us,us2000d9gj,2018-03-01T03:47:18.040Z,"97km SW of Porgera, Papua New Guinea",earthquake,7,1.8,0.112,24,reviewed,us,us
2018-02-28T22:28:32.890Z,-6.2065,143.2584,10,4.5,mb,,109,5.003,0.89,us,us2000d9ff,2018-02-28T23:12:35.040Z,"43km W of Mendi, Papua New Guinea",earthquake,9.4,1.7,0.121,20,reviewed,us,us
2018-02-28T19:00:18.570Z,-6.1481,142.7452,21.15,4.7,mb,,47,5.44,0.65,us,us2000d99x,2018-02-28T23:24:53.040Z,"90km SSW of Porgera, Papua New Guinea",earthquake,9.3,5.4,0.057,93,reviewed,us,us
2018-02-28T16:45:59.250Z,37.6219,73.1116,22.94,4.5,mb,,79,2.079,0.78,us,us2000d97e,2018-02-28T22:56:32.040Z,"96km SW of Murghob, Tajikistan",earthquake,6.9,5.8,0.075,52,reviewed,us,us
2018-02-28T16:21:56.840Z,-22.3985,171.008,16.53,5.1,mww,,112,2.911,1.02,us,us2000d96y,2018-02-28T16:45:02.040Z,"107km W of Ile Hunter, New Caledonia",earthquake,12.6,5.1,0.073,18,reviewed,us,us
2018-02-28T16:15:32.580Z,-57.9132,-25.4062,35,4.9,mb,,52,7.184,0.9,us,us2000d96v,2018-02-28T22:46:04.040Z,"140km NNE of Bristol Island, South Sandwich Islands",earthquake,11.8,1.9,0.089,40,reviewed,us,us
2018-02-28T15:53:17.020Z,-1.431,120.218,37.68,4.5,mb,,69,2.582,0.63,us,us2000d96k,2018-02-28T22:10:32.040Z,"48km W of Kasiguncu, Indonesia",earthquake,7.2,9.3,0.113,23,reviewed,us,us
2018-02-28T14:45:21.080Z,-6.0618,142.7611,10,4.8,mb,,30,5.479,0.92,us,us2000d95l,2018-02-28T22:17:47.666Z,"81km SW of Porgera, Papua New Guinea",earthquake,8.5,1.9,0.079,49,reviewed,us,us
2018-02-28T14:00:56.140Z,-6.0958,142.453,10,5,mb,,29,5.705,1.26,us,us2000d954,2018-02-28T14:20:21.040Z,"108km SW of Porgera, Papua New Guinea",earthquake,7.9,1.9,0.074,58,reviewed,us,us
2018-02-28T11:35:16.380Z,-6.0001,142.4684,10,4.8,mb,,106,6.27,1.02,us,us2000d941,2018-02-28T11:53:23.040Z,"100km SW of Porgera, Papua New Guinea",earthquake,7.1,1.7,0.072,60,reviewed,us,us
